fmol/mgCDW	Yu2021_N30_005R1	Yu2021_N30_005R2	Yu2021_N30_005R3	Yu2021_std_010R1	Yu2021_std_010R2	Yu2021_std_010R3	Yu2021_N30_010R1	Yu2021_N30_010R2	Yu2021_N30_010R3	Yu2021_N30_013R1	Yu2021_N30_013R2	Yu2021_N30_013R3	Yu2021_N30_018R1	Yu2021_N30_018R2	Yu2021_N30_018R3	Yu2021_N30_030R1	Yu2021_N30_030R2	Yu2021_N30_030R3	Yu2021_N30_035R1	Yu2021_N30_035R2	Yu2021_N30_035R3	Yu2021_Gln_glc1R1	Yu2021_Gln_glc1R2	Yu2021_Gln_glc1R3	Yu2021_Gln_glc2R1	Yu2021_Gln_glc2R2	Yu2021_Gln_glc2R3	Yu2021_Gln_N30R1	Yu2021_Gln_N30R2	Yu2021_Gln_N30R3	Yu2021_Phe_stdR1	Yu2021_Phe_stdR2	Yu2021_Phe_stdR3	Yu2021_Phe_N30R1	Yu2021_Phe_N30R2	Yu2021_Phe_N30R3	Yu2021_Ile_stdR1	Yu2021_Ile_stdR2	Yu2021_Ile_stdR3	Yu2021_Ile_N30R1	Yu2021_Ile_N30R2	Yu2021_Ile_N30R3
YJL073W	1.887864567	1.592045303	2.093493866	3.685954228	3.344776578	3.339833127	1.60967995	1.650685545	0.763131968	1.787718531	1.672005155	1.637084415	1.969503282	1.904493495	2.205434467	2.879464668	2.98065899	2.491944195	3.255865273	2.578868086	3.06631265	3.271295353	4.375264411	5.889294782	4.221245974	2.326088624	2.604313161	0.96836217	2.150702687	2.289882802	3.081882587	3.698908824	3.552768513	2.582490689	2.231694866	2.869199964	2.357297791	3.450568467	2.86894986	2.531289562	2.75184498	1.773806107
YJL071W	14.49723296	14.13077939	13.63281499	21.49404865	25.26067833	17.89881835	8.251538313	9.697194242	8.009281472	12.41353893	11.64411485	9.940021919	11.56481949	12.49183534	13.90943016	14.83136187	18.80012788	17.13904533	24.16757286	20.36806849	26.66508962	35.1172483	45.7822924	30.85452734	29.28310475	15.76166011	18.45417161	8.419405495	13.64300117	16.64277565	24.25046028	26.94678931	24.83820956	18.64728133	15.74428471	17.44291888	18.48228621	28.1788561	17.66667637	22.04508479	19.83780052	22.81347418
YJL070C	3.314539018	3.098714166	0	2.505943062	3.438580903	3.858639268	2.518518574	3.073426463	3.51441667	4.101364774	3.13704212	4.120756569	5.436628423	0	3.966524358	5.113173634	0	4.726750182	0	5.202235618	4.970860489	1.853465639	5.857142418	0	0	3.043053878	3.974384055	3.201013178	5.013567409	5.182366255	5.567841985	0	5.6673434	6.033454668	5.793891264	5.367153301	2.61571903	3.528431984	0	0	4.997023331	5.786250279
YJL066C	30.80012788	34.12158678	26.909802	43.06960218	41.3962236	68.91845089	0	34.46011138	31.63615272	0	39.83373413	42.51491008	36.9945671	33.7355664	39.60565581	39.99098723	48.98187184	0	38.2539662	0	34.94198686	41.07300594	54.13430685	62.84695954	53.94934383	0	51.796922	48.50479724	79.6621527	59.63181255	131.9998382	131.1992012	0	85.5482875	96.72043602	0	54.97579489	52.46196184	54.57259722	137.2344678	0	49.57603716
YJL061W	47.19498626	43.5485602	48.02202926	59.06121574	72.96077912	50.8922625	32.58777712	34.80972693	33.50039158	43.25981202	37.46138294	37.04556543	40.73164125	41.08277605	43.07209207	53.52202173	62.98653359	54.62750839	75.37012602	57.59743603	74.49969072	114.8577176	123.1915417	114.869478	85.39912863	43.46298855	51.96526793	25.40267342	49.11082721	51.39421178	65.11938381	78.62222628	66.26468818	62.3514668	55.55518757	57.69274195	50.93958448	72.38305865	51.55841063	64.93295184	59.63759206	59.96206981
YLR039C	7.742623032	7.365778548	6.534146535	8.001863168	8.006348923	7.193229917	5.411403256	5.634897789	3.95445076	6.579136233	5.665430637	6.308966732	5.757293573	5.754154367	6.266124905	7.592569268	8.294502732	7.876088625	9.899050595	8.485712831	8.802758309	11.27009299	13.36944152	11.81228246	11.31334785	5.894088344	7.572048809	3.845355287	8.240004553	8.649744571	9.975032383	11.27027472	10.12818405	9.506027573	9.00062456	8.899996674	6.121416021	9.514255576	6.519012276	8.384705178	8.057699625	7.190140289
YJR064W	332.3459268	299.9456068	338.6070053	400.0692267	413.3208614	401.5158429	273.0441391	255.2310102	411.4561113	390.8598603	296.0153466	359.4709378	404.3502252	365.7547975	319.0416105	670.1138196	608.407647	675.7522065	632.1095619	817.4187394	680.2339117	366.2673781	372.0358091	490.4552372	583.193423	297.902403	509.3220038	237.8374389	435.1254737	449.5503492	464.9339401	731.839924	425.1344226	504.9688646	463.2661538	409.3545312	340.0830474	386.8560355	487.3830747	587.6054141	553.5017122	652.379951
YIL138C	0	0	0	0	0	116.3736655	137.9187612	155.8291962	0	194.6855326	180.1564475	0	0	0	154.9471786	0	0	269.0960536	0	371.7060762	438.0278212	0	0	0	0	171.3526209	250.2836418	0	0	211.6179775	0	0	188.1767779	0	0	164.8884557	0	0	0	0	306.4023829	164.4807826
YMR301C	144.4711334	136.3381212	132.4726127	214.1973975	234.1244889	219.0328942	109.1431186	117.6919033	84.12253339	140.800956	116.2485874	125.0651472	150.8159456	142.4349362	147.192656	201.7708821	197.0436059	213.4974061	211.4418753	233.1255162	234.4143654	414.1949677	480.3066087	509.9204712	429.9858865	190.4992408	232.6038408	103.4387432	191.9896671	210.0627812	343.0389436	417.0818212	354.8116893	233.9931571	208.5052444	246.8592231	235.2878077	340.2625324	213.6827369	273.8402284	247.6387689	198.6062536
YHR143W-A	115.4684212	93.69315704	126.1789188	174.7265803	148.1361941	146.4474053	80.53821573	84.90428518	167.1843129	133.7349226	107.2801173	105.5802021	122.8774428	126.3199946	119.2727976	171.8418755	210.001989	186.9288824	237.644743	209.0015841	186.2280405	165.1221612	157.8299017	138.9504692	109.1544888	133.8988012	143.2679111	75.06826542	120.2081288	121.7526824	143.0049909	165.6224514	171.5146675	146.9073098	126.2923838	131.0040687	134.5599481	144.7572429	141.0633094	161.1780826	121.0400228	118.3363675
