rxn,Nsubs,OnlySubResults,nOtherMets,nOneComb,OneMetResults,nTwoComb,TwoMetResults,nThreeComb,ThreeMetResults
r_2182,4,-0.7226726236973281,2738,77,"(('s_1616[c]',), -0.3800493144781024)",2926,"(('s_0568[c]', 's_0529[c]'), -0.009431378515768207)",73150,"(('s_0725[c]', 's_1458[c]', 's_0767[c]'), 0.1650751194609216)"
r_2183,4,-0.7226726236973111,2738,77,"(('s_1616[c]',), -0.38004931447165424)",2926,"(('s_0568[c]', 's_0529[c]'), -0.00943137847303015)",73150,"(('s_0725[c]', 's_1458[c]', 's_0767[c]'), 0.16507511946050255)"
r_2334,2,0.5821175960353757,2740,81,"(('s_1324[e]',), 0.6525719719029002)",3240,"(('s_0551[c]', 's_0581[c]'), 0.7098454747906532)",85320,"(('s_0551[c]', 's_3119[erm]', 's_0581[c]'), 0.7329137954749165)"
r_1110_f,2,-0.29679112572954713,2740,78,"(('s_0722[c]',), -0.15155757309736434)",3003,"(('s_0955[c]', 's_0767[c]'), 0.22844437744599935)",76076,"(('s_0955[c]', 's_1210[m]', 's_0767[c]'), 0.5182842659945425)"
r_1237,2,-0.7556678155326773,2740,76,"(('s_0837[c]',), -0.4596382091310923)",2850,"(('s_0419[c]', 's_0767[c]'), -0.054325620776313935)",70300,"(('s_0362[c]', 's_0066[c]', 's_1399[c]'), 0.2725982088581241)"
r_4587_f,2,0.006918576475249449,2740,82,"(('s_0373[c]',), 0.09366055877437778)",3321,"(('s_1616[c]', 's_0529[c]'), 0.21226538584420748)",88560,"(('s_0362[c]', 's_1360[c]', 's_0529[c]'), 0.4188122054524472)"
r_4589_f,2,0.006918576475249583,2740,82,"(('s_0373[c]',), 0.09366055877437784)",3321,"(('s_1620[c]', 's_0529[c]'), 0.21226538584420718)",88560,"(('s_0362[c]', 's_1360[c]', 's_0529[c]'), 0.4188122054524458)"
r_4590_f,2,-1.6495405656763844,2740,63,"(('s_0767[c]',), -0.9465283015840755)",1953,"(('s_1032[c]', 's_0767[c]'), -0.8862582958918104)",39711,"(('s_0951[c]', 's_0767[c]', 's_1427[c]'), -0.8570124552961194)"
r_4591_f,2,-0.3904952031991745,2740,79,"(('s_1460[m]',), -0.18242506658287236)",3081,"(('s_0725[c]', 's_0722[c]'), -0.11167180013509692)",79079,"(('s_1005[m]', 's_1042[m]', 's_0727[m]'), 0.12507388452194418)"
r_4592_f,2,-1.598511060876929,2740,63,"(('s_0767[c]',), -0.9113184153708416)",1953,"(('s_1032[c]', 's_0767[c]'), -0.8494912272586997)",39711,"(('s_0951[c]', 's_0767[c]', 's_1427[c]'), -0.8245691303713922)"
r_0103_b,2,-0.4950248384552508,2740,60,"(('s_2954[erm]',), -0.9448820770783349)",1770,"(('s_1205[m]', 's_2954[erm]'), -0.895570757660316)",34220,"(('s_1205[m]', 's_2954[erm]', 's_1200[m]'), -0.8955707576601718)"
r_0815_b,3,-0.06856181143871487,2739,75,"(('s_1442[c]',), -0.04049255335180109)",2775,"(('s_0767[c]', 's_0955[c]'), 0.05640740322737518)",67525,"(('s_0362[c]', 's_1360[c]', 's_0767[c]'), 0.17247900484491424)"
r_0820_b,2,0.19423509081706752,2740,77,"(('s_1422[c]',), 0.2555842981977102)",2926,"(('s_0362[c]', 's_0529[c]'), 0.3323431556880842)",73150,"(('s_1620[c]', 's_0362[c]', 's_0529[c]'), 0.4253456029435565)"
r_1258_b,2,0.524371973122949,2740,79,"(('s_0837[c]',), 0.6083629865579406)",3081,"(('s_1198[c]', 's_1324[e]'), 0.7446925319055764)",79079,"(('s_0373[c]', 's_0629[c]', 's_0362[c]'), 0.7888442088724144)"
r_4226_b,2,-0.2043330294107863,2740,67,"(('s_1620[c]',), 0.012970853820418737)",2211,"(('s_1616[c]', 's_0767[c]'), 0.11824207888117858)",47905,"(('s_0373[c]', 's_1620[c]', 's_0767[c]'), 0.165929875650306)"
