g/gCDW	DiBartolomeo2020_GlucR1	DiBartolomeo2020_GlucR2	DiBartolomeo2020_GlucR3	DiBartolomeo2020_EtohR1	DiBartolomeo2020_EtohR2	DiBartolomeo2020_EtohR3
YJL197W	4.62862716952896E-06	4.7215612559808E-06	4.27816333258488E-06	4.82600260506528E-06	4.9381685525952E-06	4.7518723413756E-06
YJL196C	0.0000232348719704	0.0000229870735584	2.022245131878E-05	3.196340942544E-05	3.439786721568E-05	3.456389215172E-05
YJL193W	1.8877856282964E-07	2.064902102928E-07	1.6821467757936E-07	8.305165513008E-08	1.2417564181824E-07	9.861504310314E-08
YJL192C	9.14511123904E-07	9.3356985792E-07	8.17509100212E-07	0.0000012026561841	1.203737316096E-06	1.265909283296E-06
YAR028W	6.1582147640112E-07	7.061191545408E-07	6.0211384678368E-07	4.9590908878896E-07	4.6396651397184E-07	4.698626799504E-07
YGR234W	0.000344475130465696	0.00035476439291776	0.000310548881875104	0.000447263382323232	0.000484799042927232	0.000442129017260784
YJL102W	2.5975868002272E-06	2.8315851615744E-06	2.49486853892544E-06	5.03049267245664E-06	5.96160985785984E-06	5.45540437698528E-06
YDL056W	9.990514053876E-07	1.1054765660064E-06	9.2306390297913E-07	1.81652149701315E-06	2.079307263348E-06	1.74023663934315E-06
YML046W	1.48392903632724E-06	1.5058675872072E-06	1.49814988797573E-06	2.29476475122183E-06	2.43119032024284E-06	2.15057034415611E-06
YOR209C	5.447399231904E-05	0.0000579951249024	5.012196620256E-05	4.884333729408E-05	5.232763694592E-05	4.784422409536E-05
YMR129W	7.13946885287328E-06	7.4062700662944E-06	6.39263796396876E-06	4.24583518158936E-06	5.18822791278624E-06	4.46288292397884E-06
YFR030W	0.000370735948102912	0.00037802240946176	0.00032998475017116	0.000237944160661536	0.000254320085483184	0.000236205684441552
YAL002W	3.14379635231088E-07	3.2891341944384E-07	2.87284238282664E-07	2.91505890937968E-07	2.98330120974816E-07	2.83947909766416E-07
YAL007C	4.68189216768E-06	0.0000052173176832	4.22241804288E-06	7.56430368768E-06	6.81185673216E-06	0.0000080478885888
YAR002W	7.5469610589328E-07	8.112455756608E-07	7.0010394707196E-07	2.2141607654412E-07	2.6595018825696E-07	2.354268862366E-07
YAR008W	4.8130684515E-07	4.99095067716E-07	4.504373247546E-07	8.7509819736495E-07	8.228919602106E-07	8.9314262889795E-07
YAL062W	0.00019716294758912	0.0002130998274048	0.0002073490395264	0.00208149446582784	0.0022026586493952	0.00211205274163968
YAL060W	1.63514728817856E-05	1.7099704806912E-05	1.486253497248E-05	1.8933014434464E-05	2.02282911881856E-05	1.95570923019264E-05
YAL059W	1.1425312856178E-05	1.242883839288E-05	1.00359273496014E-05	3.6982135462896E-06	3.942739489572E-06	3.8108700063798E-06
YAL055W	3.1524130974336E-07	3.189447881312E-07	2.91085981841655E-07	2.4787565255376E-07	2.6945830675302E-07	2.5045709032267E-07
YAL053W	8.4611645014512E-06	9.158951997888E-06	7.6783116331152E-06	5.6926110574872E-06	6.1469328834144E-06	5.192153222256E-06
YAL051W	1.17406372007232E-06	1.1733837546816E-06	1.08584560155456E-06	2.17488408407424E-06	2.19284403950304E-06	2.11032802206072E-06
YAL049C	7.621699704192E-06	0.0000081707068016	7.151682814164E-06	1.3712901250104E-05	1.5871296088704E-05	1.3813676654806E-05
YAL048C	6.415997281012E-07	7.40232786832E-07	5.7148456618935E-07	1.0494269603334E-06	1.0662843024108E-06	8.7843058371585E-07
YAL047C	2.0139639625812E-06	2.144144142672E-06	1.9122533563392E-06	3.0500497409004E-06	3.2070082330272E-06	3.0273273252488E-06
YAL044C	2.37210588086384E-06	3.2340764915648E-06	2.40520073851728E-06	1.89692899788492E-06	2.02024543465728E-06	1.68744229357724E-06
YAL042W	2.62571302226772E-06	2.9696771803776E-06	2.40047101674072E-06	1.25391093918552E-06	1.47248554943952E-06	1.21936416877968E-06
YAL036C	1.86373091002384E-05	1.8883622734592E-05	1.66592572249752E-05	7.7015478603492E-06	8.213729363796E-06	8.128239010133E-06
YAL035W	9.8993272955148E-05	0.00010430306653536	8.9771466158946E-05	8.599298645124E-05	8.8500304946592E-05	8.5976348781114E-05
YAL034W-A	1.39551016801392E-06	1.4653154246976E-06	1.30750078346748E-06	1.45336147180056E-06	1.40547887835264E-06	1.40945847008652E-06
YAL031C	1.31889914967408E-06	1.4733894101248E-06	1.18070212704444E-06	1.4985500862258E-06	1.60572343884432E-06	1.42824114238504E-06
YLR292C	1.1578806296928E-05	1.193557788864E-05	1.0570407516144E-05	1.9178203168512E-05	2.0415050618112E-05	1.953685211796E-05
YDR388W	9.760106535331E-06	1.075735389848E-05	8.8328043489105E-06	7.0952398651215E-06	8.056410042768E-06	7.3261717784195E-06
YOR206W	3.0842775872832E-05	3.1429140433152E-05	2.7684185552496E-05	2.78171945746992E-05	3.02147674621056E-05	2.87751228002832E-05
YDR484W	2.22894517087968E-06	2.2680205244928E-06	2.07273281973318E-06	2.90290595740002E-06	3.00214591797384E-06	2.80473006895554E-06
YEL062W	1.4728237111332E-06	1.64095665048E-06	1.4288043978108E-06	1.9807388648532E-06	2.2225846188168E-06	2.1838687500482E-06
YER017C	1.651805773371E-05	1.683333912624E-05	1.4919684188409E-05	3.1032594396297E-05	3.388353185646E-05	3.0592075360431E-05
