copy/pgCDW	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38
YDL205C	662.5664346	544.475302	928.7788611	901.0270218	737.2823568	804.159247	930.7333256	631.8747864	577.5065601	340.5954723
YDL207W	0	0	0	0	0	0	0	0	0	0
YDL208W	1726.864878	1495.794189	1378.234546	1354.05923	1650.535007	1722.742161	1697.853122	1726.624746	1477.237713	1172.566769
YDL212W	88.82757336	97.17925367	72.25451577	79.18083629	95.01854112	105.1690489	103.2334357	89.90332095	91.74575783	195.0180084
YDL213C	418.2259241	404.5740778	320.0928708	268.7287954	483.1599786	428.6603123	503.2456843	544.701233	496.0977677	344.6956934
YDL215C	1316.608208	1277.198749	1127.425672	1187.9911	1456.626088	1335.67835	1134.059827	2033.831612	2051.402086	700.4063231
YDL219W	1591.191564	1919.91818	1638.826864	1759.48697	1864.623238	1728.90437	1964.366529	1962.192481	2378.374919	2865.105639
YDL224C	0	0	0	0	0	0	0	0	0	0
YDL225W	312.4405776	283.4242972	298.6569178	318.6507307	318.4984402	304.8813745	328.0409091	337.180957	296.6169779	146.5799262
YDL226C	326.7287701	337.3479028	327.8104588	317.3128965	353.0722351	343.1054796	347.2820179	353.2606542	340.1875398	262.862921
YDL235C	1294.249979	1151.788413	1236.818912	1347.831428	1347.806173	1346.9081	1538.755151	1518.9041	1631.766589	1785.220629
YDL236W	999.5182636	1382.135602	1163.997322	1275.022145	1168.996383	1159.19904	1293.094835	1019.286789	1002.001543	1242.466879
YDL237W	479.339963	750.0717297	453.891081	545.7159058	511.5557394	491.6666154	449.9472291	507.4859054	499.3227057	366.4528918
YDR001C	267.6064763	235.7494029	121.4998121	174.0934215	250.8136451	298.7802329	309.9635213	269.8960636	337.9609216	295.3032075
YDR002W	3650.330141	4517.171395	3872.097066	4286.734221	4247.23555	4177.532681	3671.217695	4773.380197	4907.649171	5082.30079
YDR011W	1.998454285	0	0	0	0	1.18244217	1.263294513	1.866999429	0	1.835682489
YDR019C	6081.356346	6884.325747	6853.839048	4097.089759	4616.918726	4423.035472	2868.0695	5976.964044	5180.883206	3347.674906
YDR021W	114.3508716	128.8540332	109.4246398	92.96514063	151.8961765	173.3736455	107.938402	214.4112446	210.1315296	119.7177166
YDR023W	8384.31052	8299.295367	7595.696949	7776.908062	8725.874368	8506.263808	9370.14671	9376.514167	8805.240281	6703.533313
YDR032C	48332.8628	62635.50004	65093.39233	60747.7663	44050.97043	41399.69486	27355.25158	54277.49694	69930.44619	37866.09011
YDR035W	3921.007644	2231.960134	3320.627802	2496.285558	3525.418046	3256.840359	2777.000537	3286.64708	2760.098382	1610.427215
YDR037W	5030.397432	4313.063297	3554.852704	3399.608298	5507.228081	5723.184102	5759.275572	6072.206609	5207.764783	4619.173302
YDR041W	598.2491935	505.2315319	932.7409636	861.7971629	570.7984471	517.5672765	529.9969848	468.6743773	424.162598	338.6247889
