fmol/mgCDW	Yu2020_ClimR1	Yu2020_ClimR2	Yu2020_CN30R1	Yu2020_CN30R2	Yu2020_CN50R1	Yu2020_CN50R2	Yu2020_CN115R1	Yu2020_CN115R2
YOR266W	71.4687725569477	75.224823725474	39.9046606435523	40.7162598586285	19.1057867987254	19.360776990043	12.3958275187589	23.0854163234069
YBR022W	108.917658318645	129.157460905352	84.8404353301353	83.2871109638326	41.9133360791076	46.2143549684796	35.3659417660864	50.5869908720543
YML069W	157.942496407195	164.136104897915	139.67585151481	148.132490101287	98.9303500035229	96.0037545817724	155.217162540776	134.368989480748
YPL144W	37.4843242394456	63.5831757680129	57.0530443141911	80.5723546913099	51.5577095353727	51.2931026183318	55.8173089393869	67.7587873109869
YNL102W	138.000746151411	142.84354604487	119.977009133353	128.184988990682	75.8695119126986	71.7275594166728	92.3983859302774	100.069327563621
YBL035C	105.136087008176	109.069899216889	83.315308689997	80.1969556429772	46.8772728273165	45.0738879326545	52.4860145383934	60.1729426518904
YNL262W	8.32901609177217	8.93305621244576	7.13726036777231	6.92535494107499	4.36771530803724	4.01950840619556	4.33071306871666	5.5819955680941
YDL102W	63.4801640060068	67.0483201120558	42.7434898292247	38.3982436247985	18.6970737335427	21.7999718439538	22.4639605511263	27.2144599648055
YBR088C	2231.18911938541	2654.83210640781	2154.52304475405	2478.29378714281	1498.58253186549	1429.22252326377	1222.18557330395	2008.17496854264
YJR006W	54.5228150545265	66.811319172308	45.0272460568908	40.956148767974	23.5147578669055	25.6919874777193	14.5488865375647	32.7114406949627
YEL055C	195.330499181025	273.186934402147	177.654107323348	198.986293882589	111.878165332736	113.926246317034	80.3827003225028	145.079369316287
YMR129W	7.44726411474995	7.62209678683058	8.94054620123346	11.3278240966256	8.01466164481018	7.09073746220952	7.73458957135192	9.36568593756559
YLL023C	252.659173667648	229.815799131939	122.566663380008	107.546347826471	58.7161315467493	67.6317886534756	65.4621052528589	81.5238970438716
YNL221C	13.6175183625611	14.5419049708721	10.6849314754703	11.0766403007421	7.23510287658811	6.61976359876723	11.5892008239402	9.22075641790233
YNR052C	62.3036330078178	54.4494690826658	37.7530112092466	39.2398416364766	25.6936417681017	21.9875888896437	43.5921360723864	31.6056892702472
YAL033W	305.463770892196	204.14317978414	157.947893224739	173.680099315212	83.5846139257253	84.2093385779133	95.5175193832106	104.476890569776
YBR167C	27.3623585580643	23.8161287960898	16.1091110411058	16.0635521234775	9.30274904864447	8.76796763915348	11.7204505148435	11.6715399574239
YNL055C	2978.97583407002	3635.82914840288	3386.15324700273	5433.19282197879	4675.56069757035	4015.3468586069	6373.65964359654	4108.24136089533
YPL188W	363.943256145363	339.208932505688	222.843214213675	213.989322632506	127.654242316452	121.042735829547	159.336004659654	139.546042527224
