cid,metName
9548600,N-(5-Phospho-D-ribosyl)anthranilate
16059194,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
443198,2-C-methyl-D-erythritol 4-phosphate
443199,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
443200,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
443201,1-deoxy-D-xylulose 5-phosphate
2879,P-Cresol
443210,DTDPglucose
443223,"D-Glycero-D-manno-heptose 1,7-bisphosphate"
166760,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
160617,Orotidine 5'-phosphate
4971,Protoporphyrin
9068,Thiamine diphosphate
25195380,Cob(I)alamin
887,Methanol
11948934,"N-Succinyl-LL-2,6-diaminoheptanedioate"
160647,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
439176,5-Methylthioadenosine
5280651,All-trans-Octaprenyl diphosphate
439182,5'-Deoxyadenosine
93072,N-Carbamoyl-L-aspartate
13548436,(3R)-3-Hydroxyacyl-[acyl-carrier protein]
160666,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
16755619,2-Dehydropantoate
935,Nickel
439216,(S)-Dihydroorotate
955,O-Succinylbenzoate
46173118,Three disacharide linked murein units (pentapeptide crosslinked tetrapeptide (A2pm->D-ala) tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)
439232,N2-Acetyl-L-ornithine
11006912,UDP-N-acetylmuramate
193475,L-Glutamate 5-phosphate
439251,(R)-Pantoate
46173141,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)"
439258,L-Cystathionine
99290,"Meso-2,6-Diaminoheptanedioate"
13831140,Lipid A Disaccharide
997,Phenylpyruvate
139033579,Adenosylcobalamin
193516,4-(1-D-Ribitylamino)-5-aminouracil
439283,"LL-2,6-Diaminoheptanedioate"
49859575,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)"
441339,D-Glycero-D-manno-heptose 7-phosphate
439292,DTDP-4-dehydro-6-deoxy-D-glucose
439293,DTDP-4-dehydro-6-deoxy-L-mannose
441340,D-Glycero-D-manno-heptose 1-phosphate
1021,Porphobilinogen
